DATE,TITLE,SUMMARY
2022-07-31 13:42:20,Emergency savings are minimal or nonexistent for many households. Lawmakers want to change that — and boost retirement savings in the process,"Two Senate proposals differ in their approach to boosting emergency savings, although both come with certain parameters and are linked to 401(k) plan accounts."
2022-08-01 19:08:36,Americans are anxious about a recession as inflation cuts into their spending power,"As experts debate whether or not the U.S. is already in a recession, many Americans are bracing themselves for a downturn."
2022-08-01 19:19:16,"The federal government had expected $114 billion income on student loans. But it could lose $197 billion, watchdog finds",The U.S. Department of Education is expected to lose $197 billion from federal student loans made over the last 25 years.
2022-08-01 15:11:58,"Employee stock purchase plans can carry 'a big risk,' says advisor. What to know before buying in","If you’re working for a public company, you may have a chance to buy discounted shares through an employee stock purchase plan, or ESPP. Here's what to know."
2022-08-01 15:43:17,"Unrelenting inflation is driving up costs, leaving more Americans living paycheck to paycheck","With no break in sight for rising prices, even wealthier Americans are feeling financially strained."
2022-08-02 19:12:20,"With domestic fares down 25% since spring, now's the time to book flights for fall trips, travel app study finds",Travel app Hopper's latest quarterly study says domestic airfares booked now for fall travel are 25% cheaper than they were earlier in the year.
2022-08-02 18:37:37,Rent prices are soaring in these 5 U.S. metros. Here's what to know before moving to a cheaper area,"Rent prices swelled during the first half of 2022, with a double-digit increase year-over-year. Here's what to know before moving to a cheaper area."
2022-08-02 18:06:40,"Typical job switcher got a pay raise of nearly 10%, study finds","Many workers who switched jobs as the labor market emerged from its Covid pandemic slumber saw wages outpace inflation by a wide margin, a new study found."
2022-08-02 17:00:20,"Average premiums for Medicare prescription drug coverage are set to dip to about $31.50 a month in 2023, deductibles to rise","The monthly amount that Medicare beneficiaries will pay for drug coverage is projected to inch downward, on average, according to program officials."
2022-08-02 15:54:11,"Credit card balances jump 13%, highest leap in over 20 years, as inflation outpaces wage growth","Americans now say they need to be making about $107,800 a year to feel financially healthy, roughly double the national average."
2022-08-02 19:27:13,Want to know how a Social Security benefit cut would affect you? There are calculators for that,Social Security may not be able to pay full benefits after a certain date if Congress doesn't act sooner. Here's how to gauge how much in benefits you may lose.
2022-08-03 18:49:16,7 changes Americans are willing to make to fix Social Security — including one with 'overwhelming bipartisan support',"Fixing Social Security means generally means raising taxes, cutting benefits or both. A recent survey of registered voters gauges what changes they can stomach."
2022-08-03 17:06:00,The Fed is fighting inflation. So is remote work,"The pandemic-era work-from-home trend is helping cap inflation by reducing the so-called wage-price spiral effect, according to a recent economic paper."
2022-08-03 17:20:37,"Parents are spending a lot more on back-to-school shopping, even if it means going into debt",High inflation and lingering supply chain issues are making back-to-school supplies more expensive for families. Here are some tips on how best to save.
2022-08-03 15:18:14,"Average monthly payments for car leases rose to $594 in July amid 'an absence of discounts' from manufacturers, dealers","The average purchase incentive in July was $894, a marked drop from $2,000 a year ago, according to a new estimate."
2022-08-03 22:05:29,"Embryos can count as dependents on Georgia state tax returns: For many families 'there is no benefit at all,' says analyst",Residents of Georgia may now claim embryos as dependents on their 2022 state income tax returns. But the policy raises many questions.
2022-08-04 19:08:21,Equifax coding error caused millions of inaccurate credit scores. How to know if you are affected,"Roughly 300,000 credit scores provided by Equifax were wrong by at least 25 points, which is more than enough to affect a lending decision."
2022-08-04 18:29:58,Would you be included in student loan forgiveness? What we know so far,"With student loan forgiveness possibly on the horizon, here's who could be included in a jubilee, and who may be left out."
2022-08-04 14:05:41,"‘One actionable thing’ that can save prospective homebuyers up to $104,000 over the life of their mortgage","As today's prospective home buyers confront high home prices and rising interest rates, there's one thing they can do to save – raise their credit scores"
2022-08-05 18:17:10,"Use of credit cards, personal loans surges, but 'it's not a red flag,’ expert says","The number of people with credit cards and personal loans hit record highs in the second quarter of 2022, according to TransUnion's latest report."
2022-08-05 18:58:00,Biden has promised a student loan forgiveness decision this month. Here are 5 things borrowers can do while they wait,President Joe Biden has said he'll be making his decision on student loan forgiveness this month. Here's what borrowers should know.
2022-08-05 17:23:50,"Long-term unemployment tumbles to its pre-pandemic level, helping to 'mitigate the risks of labor-market scarring'",Being jobless for six months or more can expose households to more financial risk. The long-term unemployment rate has now returned to pre-pandemic levels.
2022-08-05 11:30:01,"Is the economy in a recession? ‘What you call it is less relevant,’ says one economist: Here’s ‘what really matters'",Are we in a recession? A former chief economist at the U.S. Department of Labor and a former chair of the White House Council of Economic Advisers weigh in.
2022-08-05 16:47:23,"Does the Inflation Reduction Act violate Biden’s $400,000 tax pledge? Expect 'a different answer depending on who you ask,' says analyst","The answer is more complicated than it may sound. Broadly, it depends on what you consider a ""tax"" and how you account for the bill's aggregate benefits."
2022-08-05 19:25:12,"Retirees may be focusing on the wrong risks to financial security, due to 'exaggerated assessments of market volatility'","When asked what the biggest financial risk is to their retirements, many retirees say the markets. But it turns out another factor carries a much bigger weight."
2022-08-06 12:00:01,"If you're 'unretiring' and collecting Social Security, here's what to know before heading back to work",A combination of high prices and more job openings may encourage retirees back into the workforce. Here's what that means for Social Security benefits.
2022-08-07 12:00:01,"As climate change threatens more homes, some properties are getting too costly to insure","As climate change threatens the U.S. with more natural disasters, it's becoming increasingly costly for Americans to insure their homes, experts say."
2022-08-08 16:44:58,These 30 companies will help employees pay off their student loans,"With loan forgiveness in limbo, more employers are stepping up to address student debt. These companies will provide repayment assistance and they're hiring."
2022-08-08 16:42:04,Expanded health insurance subsidies remain intact for 13 million people under Inflation Reduction Act,"The House is expected this week to vote on the Inflation Reduction Act, which extends temporarily more generous tax credits available in the public marketplace."
2022-08-08 15:22:21,"Reconciliation bill includes nearly $80 billion for IRS including enforcement, audits: What that means for taxpayers","Senate Democrats on Sunday passed their climate, health and tax package, including nearly $80 billion in IRS funding. Here's what it means for taxpayers."
2022-08-08 19:09:17,"Carried interest provision is cut from Inflation Reduction Act. How this tax break works, and how it benefits high-income taxpayers","A proposed tax tweak to carried interest, compensation paid to private equity and hedge fund managers, didn't survive in the final Inflation Reduction Act."
2022-08-09 14:45:32,"With or without federal student loan forgiveness, colleges must tackle affordability crisis, experts say","Increasingly, high school students are rethinking the value of a four-year degree. Many want a more direct path to a job without all the debt."
2022-08-09 13:29:49,"1 in 5 insulin users on Medicare has ‘catastrophic’ drug spending, Yale finds. The Inflation Reduction Act may help",Senate passed bill limiting out-of-pocket spending on insulin to $35 per month for Medicare beneficiaries. Other patients still face high costs for treatment.
2022-08-09 19:24:27,Inflation Reduction Act extends 'pass-through' tax break limits for 2 more years. Here's what that means for entrepreneurs,Senate Democrats' legislation would continue an existing limit on how pass-through businesses can use losses to reduce their tax bills.
2022-08-09 18:22:48,"With 87,000 new agents, here's who the IRS may target for audits","The Senate approved nearly $80 billion in IRS funding with $45.6 billion for ""enforcement."" Here's who may be affected by more audits."
2022-08-09 17:48:58,"On rare days, the market rises 5% — or even 10%, Wells Fargo finds. How to make sure you're there for it",A new Wells Fargo analysis looked at the best 20 days for the S&amp;P 500 between August 1992 and July 2022. Almost half of them occurred amid a bear market.
2022-08-10 15:35:11,"Retirees on Social Security could see monthly benefit rise an average of $159 in 2023 due to inflation, estimate finds","High inflation points to a possible 9.6% Social Security cost-of-living adjustment in 2023, according to a new estimate based on data released on Wednesday."
2022-08-10 15:46:30,Gas is cheaper but groceries are not: How to save as food inflation jumps at the fastest pace since 1979,"Food costs climbed 1.1% in July, bringing the year-over-year gain to 10.9%, according to the latest Consumer Price Index figures."
2022-08-10 14:59:37,"Buying a car and want to go electric? Inflation Reduction Act extends $7,500 tax credit — but with price, income caps","Single buyers of electric vehicles would need to have income of less than $150,000 to qualify for the credit, and luxury models would largely be ineligible."
2022-08-10 20:30:40,"Airfares, hotel rates and rental car prices fell in July. Here’s how you can score a good deal","The price for major components of vacation travel have declined for two consecutive months, according to the U.S. Department of Labor's Consumer Price Index."
2022-08-10 18:51:53,A phantom debt collection scam duped consumers out of more than $1 million. Here are 5 ways you can avoid falling victim,"If you receive a surprise call or letter about unpaid debts of which you are not aware, don't panic. Take these steps first."
2022-08-10 20:08:39,"With the IRS hiring more employees, here's who agents may target for audits","The Senate approved nearly $80 billion in IRS funding with $45.6 billion for ""enforcement."" Here's who may be affected by more audits."
2022-08-11 16:38:35,"State, local relief not in cards for residents of high-tax states as House assesses Inflation Reduction Act","After fighting to repeal the SALT deduction limit, a group of House Democrats say they'll vote for the party's spending package without SALT reform."
