DATE,TITLE,SUMMARY
2022-12-13 15:07:27,FTX spent $256 million on Bahamas real estate — now the island's government wants it back,"Bahamas regulators appeal to U.S. bankruptcy judge to try to claim ownership over FTX-owned properties in New Providence, Bahamas."
2022-12-13 16:59:10,Lawmakers unveil bipartisan bill that aims to ban TikTok in the U.S.,The bill comes after years of broad concern across the Trump and Biden administrations about potential Chinese government influence on the company.
2022-12-13 15:09:49,Here’s the inflation breakdown for November 2022 — in one chart,"Inflation was cooler than expected in November amid a slowdown in several broad consumer categories, according to the consumer price index issued Tuesday."
2022-12-13 17:59:53,Harvard-educated deception expert: 4 red flags can show when people like Sam Bankman-Fried are lying,"Pamela Meyer, a Harvard-educated deception expert and certified fraud examiner, weighs in on disgraced founders Elizabeth Holmes and Sam Bankman-Fried."
2022-12-13 19:16:56,The Fed has to portray itself as tough on inflation even as it pushes through a smaller rate hike,The Fed is expected to raise interest rates by a smaller half percentage point Wednesday yet signal that its battle with inflation is still far from over.
2022-12-13 19:01:12,Binance temporarily halted withdrawals of stablecoin USDC as investor concerns mount after FTX collapse,"Changpeng Zhao, CEO of Binance, tweeted on Tuesday that the exchange is seeing an increase in withdrawals of USDC."
2022-12-13 19:25:48,"Why tech insiders are so excited about ChatGPT, a chatbot that answers questions and writes essays","Since OpenAI released ChatGPT last month, the text-based artificial intelligence tool has gone viral, attracting a million users in its first five days."
2022-12-13 20:22:47,Nuclear fusion breakthrough: Scientists generate more power than used to create reaction,The National Lab and Department of Energy announced a nuclear reaction that generated more energy than was required to power it -- a first for humankind.
2022-12-13 22:07:44,"Tesla shares have fallen 28% since Elon Musk took over Twitter, lagging other carmakers",Musk sold billions of dollars worth of his Tesla holdings to finance the Twitter takeover and has been embroiled in controversy ever since.
2022-12-13 21:44:54,Two Americans and five Russians charged with running a smuggling network to obtain military technology and ammunition for Russia,Two American citizens and five Russian nationals were charged with smuggling sensitive military technology and ammunition to benefit the Kremlin.
2022-12-13 21:59:20,"The Arctic is getting warmer and stormier, and ship traffic is increasing as ice melts",Nearly 150 Arctic scientists from 11 countries developed this year's Arctic Report Card.
2022-12-13 23:14:35,Musk's Twitter reportedly hasn't paid rent on its office spaces for weeks,"Elon Musk has recently taken drastic steps to cut costs and gear up for possible legal battles at Twitter, according to a report from The New York Times."
2022-12-13 17:21:37,Ford boosts production of electric F-150 Lightning pickup truck,Ford Motor has added a third production shift to its Michigan plant that produces the electric F-150 Lightning as it looks to boost output.
2022-12-13 19:52:52,"Workers and consumers say they're likely to favor pro-LGBTQ businesses, new study says",A new report reveals companies that stay silent on LGBTQ issues could turn off their customers and employees.
2022-12-13 18:06:24,Apple launches a big update that makes your iPhone backups more secure. Here's how to turn it on,"If you opt-in to Apple's Advanced Data Protection, then Apple Photos, Notes and iCloud backups won't be accessible to anyone but you."
2022-12-13 21:59:18,"CFTC piles on with new charges against Bankman-Fried, FTX and Alameda",The Commodity Futures Trading Commission alleged that FTX commingled customer funds and that ex-CEO Sam Bankman-Fried violated the Commodities Exchange Act.
