DATE,TITLE,SUMMARY
2022-11-04 17:06:36,"Ukraine suffered a comms outage when 1,300 SpaceX satellite units went offline over funding issues","Ukraine's fears that its troops  may lose access to Elon Musk's crucial Starlink internet service deepened in the past week after 1,300 of the military's satellite units went offline, according to  two sources familiar with the outage."
2022-11-07 00:38:47,"Hunger strike of jailed Egyptian-British activist may dominate the COP27 summit, Amnesty chief warns","The deteriorating health of jailed Egyptian-British activist, Alaa Abd El-Fattah will dominate the upcoming COP27 summit if Egyptian authorities fail to intervene, Amnesty International has warned."
2022-10-29 01:12:39,Plans for Singapore's first 'supertall' skyscraper unveiled,"Singapore is set to welcome its first ever ""supertall"" skyscraper, a term used to describe buildings that exceed 300 meters (984 feet) in height."
2022-10-25 13:41:54,Artist seeks volunteers for mass nude photo in Australia,Artist Spencer Tunick is once again asking thousands of volunteers to get naked for one of his iconic mass nude photo shoots.
2022-11-04 02:56:16,This roasted pigeon dish may have changed the course of modern Chinese history,A massive blue and red neon sign hovers above a narrow alley off busy Nathan Road in Hong Kong's Yau Ma Tei area.
2022-11-07 06:03:54,Iranian lawmakers demand 'no leniency' for protesters as mass demonstrations continue,"Iranian lawmakers have urged the country's judiciary to ""show no leniency"" to protesters in a letter cited by state-run Press TV on Sunday, as thousands of people continue to rally on the streets despite the threat of arrest."
2022-11-07 07:52:34,What early exit? China doubles down on zero-Covid pledge despite public frustration,"China has reiterated its unswerving commitment to its longstanding zero-Covid policy, despite mounting public frustration the stringent measures are costing the very lives they're intended to protect."
2022-11-07 09:21:10,What exit? China doubles down on zero-Covid pledge despite public frustration,"China has reiterated its unswerving commitment to its longstanding zero-Covid policy, despite mounting public frustration the stringent measures are costing the very lives they're intended to protect."
2022-11-07 09:27:43,Analysis: Xi Jinping has secured his power at home. Now he's stepping back out on the international stage,"After securing his iron grip on power in a leadership reshuffle late last month, Chinese leader Xi Jinping is now moving back onto the world's stage -- in person -- in an apparent bid to bolster China's standing amid rising tensions with the West."
2022-11-07 08:33:50,North Korea makes no mention of ICBM in report on more than 80 missile tests,"North Korean state media has released images purporting to show last week's missile launches with a warning that the so-called ""reckless military hysteria"" of the United States and its allies is moving the Korean peninsula towards ""unstable confrontation."""
