DATE,TITLE,SUMMARY
2023-01-10 00:40:19,Cramer's lightning round: I like WESCO very much,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-09 23:32:30,Jim Cramer warns investors not to ‘gamble’ on tech stocks despite recent gains,"""These short-term sector rotations like we saw today – they're irrelevant because they can't last,"" he said."
2023-01-11 00:43:51,Cramer's lighting round: Energy Transfer is a very good stock,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-11 00:12:14,"Charts are ‘screaming’ that it’s not too late to buy homebuilder stocks, Jim Cramer says","Jim Cramer made the bull case for homebuilder stocks, leaning on analysis from Dan Fitzpatrick."
2023-01-10 23:59:43,Jim Cramer's 5 rules for earnings season,Jim Cramer gave his top rules for investors ahead of the upcoming earnings season.
2023-01-12 00:28:02,Cramer's lightning round: I would hold onto Biomarin Pharmaceutical,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-12 00:07:05,Jim Cramer likes these 5 'reasonably' valued stocks in the S&P 500,"""We only want … stocks if they're reasonably valued because this market has very little patience for anything expensive,"" he said."
2023-01-12 00:01:19,"Charts suggest the market could rally for the next couple of months, Jim Cramer says","“The charts, as interpreted by Larry Williams, suggest that the market could have a very nice run over the next couple of months,” Jim Cramer said."
2023-01-11 23:28:09,Jim Cramer explains why the December CPI number is a ‘big deal’,"""Unless inflation's coming down in all the right places, this earnings season could be very rough,"" he said."
2023-01-12 23:58:05,Cramer's lightning round: I like Entegris,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-12 23:44:46,Jim Cramer says Disney should allow Nelson Peltz to join its board,Jim Cramer said that Disney should approve Nelson Peltz's bid to join the company's board rather than engage in a proxy fight.
2023-01-13 23:59:20,Cramer's lightning round: Costamare is not a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-13 23:53:56,Cramer’s week ahead: Wait before trading on company earnings,"“Every quarter I make the same argument about how you should ... do more work before you pull the trigger, but a lot of people remain unconvinced,” Cramer said."
2023-01-18 00:18:53,Cramer's lightning round: I think Boeing is good,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-18 00:13:28,"Jim Cramer picks his favorite travel, restaurant, live entertainment and gym stocks","“The biggest theme is the rise of this ‘life is too short’ mentality. People don’t want to waste their time anymore,” he said."
2023-01-17 23:49:03,Jim Cramer warns investors not to panic-sell reliable stocks,"Jim Cramer warned investors not to let Tuesday's losses scare them into exiting their positions in steady, dependable stocks."
2023-01-19 00:16:49,Cramer's lightning round: TransMedics is a total winner,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-18 23:56:38,"Charts suggest the S&P 500 is at a make-or-break moment, Jim Cramer says","""The charts, as interpreted by Jessica Inskip, suggest that we’re at an important moment where the S&amp;P 500’s found an equilibrium,"" he said."
2023-01-18 23:49:07,"Jim Cramer says market is in a period of consolidation, getting rid of 'weak-handed investors'",Jim Cramer warned that stocks could continue to see pain at least in the short term.
2023-01-20 00:31:43,Cramer's lightning round: I like ABM Industries,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-20 00:00:46,Jim Cramer says it’s too soon to buy video game stocks like Activision and Take-Two,Jim Cramer said that it's too soon for investors to consider picking up hammered video game stocks like Activision and Take-Two.
2023-01-19 23:41:29,Jim Cramer says an ‘obsession’ with mega-cap tech names is overshadowing a bull market,Wall Street's obsession with the mega-cap tech names has obscured a bull market in non-tech names.
2023-01-21 00:37:11,Cramer's lightning round: I like Juniper Networks,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-20 23:52:39,"Jim Cramer names 6 e-commerce plays that are buys, says to wait on Amazon","""There are still some e-commerce plays that I'm willing to get behind here, the ones that have truly prioritized profitability,"" he said."
2023-01-20 23:46:59,Cramer’s week ahead: 'Be on your toes’ this earnings period,"Jim Cramer previewed next week's slate of earnings featuring reports from Microsoft, Southwest Airlines, IBM and more."
2023-01-20 21:05:05,Cramer's lightning round: I like Weyerhaeuser,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-24 00:15:37,Cramer's lighting round: Teck Resources is a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-23 23:57:50,"Charts suggest investors should ignore ‘crypto cheerleaders’ and stick with gold, Jim Cramer says",Jim Cramer urged investors not to let bitcoin's recent gains tempt them into buying crypto.
2023-01-24 00:03:42,Jim Cramer says these 6 ‘positives’ could help lift stocks during earnings season,Jim Cramer went over six factors that could help buoy stocks during the upcoming earnings season.
2023-01-25 00:33:50,Cramer's lightning round: Amicus Therapeutics is an ideal spec,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-24 23:58:53,Jim Cramer says to consider an analyst's call timeframe when investing,CNBC’s Jim Cramer used recent analyst calls on Advanced Micro Devices to illustrate his point.
2023-01-26 00:25:05,Cramer's lightning round: I like Nucor over Cleveland-Cliffs,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-26 00:38:29,Jim Cramer reminds investors to maintain a diversified portfolio,Jim Cramer told investors to stay diversified.
2023-01-25 23:42:41,Jim Cramer picks his standout stocks in 4 bull market industries,"Companies in Cramer's list include Wells Fargo, Raytheon Technologies, Delta Air Lines, J.B. Hunt and Boeing."
2023-01-27 00:10:42,Cramer's lightning round: I say thumbs up to MP Materials,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-27 00:02:43,Jim Cramer credits strong earnings from Tesla and United Rentals for helping lift the market,Jim Cramer said strong earnings from companies including Tesla and United Rentals drove Thursday's rally.
2023-01-28 00:14:05,Cramer's lightning round: L3Harris Technologies is still a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
2023-01-28 00:35:53,"Charts suggest investors should bet on ‘work horses’ in the Dow Jones Industrial Average, Jim Cramer says",Jim Cramer went off the charts with analysis from legendary technician Larry Williams.
2023-01-28 00:24:30,Cramer’s week ahead: Fed decision on Wednesday could let the bulls ‘party on’,Cramer also reviewed next week's roster of earnings.
