DATE,TITLE,SUMMARY
2023-01-07 10:30:00,FTX Seeks to Recoup Sam Bankman-Fried's Charitable Donations,FTX and its founder doled out millions in donations before the crypto exchange went bankrupt. Now the nonprofits wonder: What should they do with the money?
2023-01-07 14:00:00,New Alzheimer's Drug Leqembi Will Be Out of Reach for Most Patients,Medicare won’t pay for the drug unless patients are enrolled in government-sanctioned trials—and no such studies are under way or planned.
2023-01-07 13:00:00,Poultry Farm Says Millions of Chickens Could Starve From Rail Delays,Union Pacific blames weather for causing service disruptions but says its trains are reaching Foster Farms.
2023-01-07 10:30:00,Disney Princesses Return to Mattel as the Barbie Maker's Turnaround Ambitions Grow,A line of dolls hitting the shelves this weekend will test whether the new design mojo is working.
2023-01-07 13:46:00,"The Future of Car Technology, as Seen at CES 2023",Color-changing cars. Flying taxis. And a gaming-style tablet that can steer a vehicle. Car companies descended on CES in Las Vegas to show off their latest ideas.
2023-01-07 11:49:00,Liquor Brands Bet Thrifty Drinkers Will Keep Making At-Home Cocktails,"With inflation squeezing disposable incomes, distillers are doubling down on efforts they started during the pandemic to meet drinkers where they are."
2023-01-07 22:35:00,Musk Seeks to Move Trial Over Tesla Tweets Out of San Francisco,Billionaire argues that negative local publicity surrounding his management of Twitter will keep him from having a fair trial.
2023-01-06 15:59:00,What Airline Chaos Looks Like From the Inside,"For a former executive at Spirit Airlines, last week’s meltdown of Southwest felt familiar"
2023-01-08 10:30:00,Tech Industry Reversal Intensifies With New Layoffs,"Technology companies that grew rapidly during the pandemic are now reducing spending and staffing, sometimes more than once."
2023-01-08 10:30:00,Developing Nations Aren't Ready for EVs---Unless They Are Made in China,"Chinese EVs are popular price leaders in Southeast Asia, one of the trends in the electric-vehicle market there that analysts say could be worrisome for global auto makers."
2023-01-08 12:00:00,SpaceX Aims to Speed Launch Pace as Rivals Prep New Rockets,"Globally, 180 launches reached orbit last year, more than double the number five years earlier, according to a new analysis."
2023-01-08 12:00:00,"All the Cool, Crazy and Cute Tech We Found at CES 2023","The megashow featured flying ATVs, diaper-checking baby monitors, autonomous lawn mowers and more."
2023-01-08 10:30:00,"As White-Collar Layoffs Rise, Blue-Collar Resilience Faces Test in 2023",Manufacturing and leisure could resist pattern of bearing brunt.
2023-01-08 12:00:00,"China, a Pioneer in Regulating Algorithms, Turns Focus to Deepfakes","Beijing is among the first governments to regulate hyper-realistic, AI-generated media with new rules set to take effect Jan. 10."
2023-01-08 16:09:00,Egyptians Cut Back on Staples as Inflation Rises,Egypt has been hit especially hard after the war in Ukraine pushed up global commodities prices and the local currency weakened.
2023-01-08 15:00:00,Adobe's CEO Sizes Up the State of Tech Now,"Shantanu Narayen, who has headed the software company for 15 years, discusses volatility in the industry, the purchase of Figma and setting priorities."
2023-01-08 15:00:00,Google Might Need to Be Un-Google-Like,"The search giant has so far bucked the tech sector’s layoff trend, but pressure to cut costs leaves few options."
2023-01-08 18:08:00,"Public Transit Goes Off the Rails With Fewer Riders, Dwindling Cash, Rising Crime","When riders stop taking subways and buses, it’s harder to keep up service. “It’s becoming a vicious cycle.”"
2023-01-08 20:00:00,Economy Week Ahead: Consumer Inflation in Focus,U.S. and China governments to report latest price trends amid waning global demand.
2023-01-09 01:48:00,Deere to Allow Farmers to Repair Their Own Equipment,"Agreement with farm group aims to ensure farmers, independent repair shops can fix increasingly high-tech tractors and harvesters."
2023-01-09 13:26:00,Lululemon Warns of Falling Fourth-Quarter Margins,Shares of the athletic-gear maker plunged after it updated its quarterly view.
2023-01-09 10:11:00,Beijing Signals Tech-Firm Crackdown May End,A top Chinese official said authorities have wrapped up investigations into the financial businesses of several internet companies.
2023-01-09 11:00:00,HR Departments Debate How to Lay Off Workers,"The details of a downsizing—when exactly to fire employees, whether to cut once or multiple times and how much severance to offer—can vex executives."
2023-01-09 13:00:00,New York City Scrambling to Find Space for EV Chargers,"To meet ambitious plans to phase out combustion engines, the city must install thousands of chargers by 2030 to boost electric-vehicle ownership"
2023-01-09 08:25:00,AstraZeneca to Buy U.S. Cardiorenal-Drug Maker,"For an initial $1.3 billion, the Anglo-Swedish company will acquire CinCor Pharma, including rights to its baxdrostat cardiorenal drug, which has shown promise in clinical trials."
2023-01-09 16:12:00,Lululemon Shares Tumble on Profit Warning for Holiday Quarter,The athletic-gear maker’s earnings targets came in below Wall Street’s expectations.
