INDEX,DOWNLOAD_TIME,DATE,TITLE,SUMMARY
0,2022-09-02 16:40:41.579796,2022-09-02 19:11:36,"Million-dollar homes losing luxury status as buyers get less space for their money, research finds","Money does not go as far for home size at any price point nowadays, according to Zillow. The $1 million price threshold in particular is losing its cachet."
1,2022-09-02 16:40:41.579796,2022-09-02 19:15:53,1 in 5 home sellers are now dropping their asking price as the housing market cools,"The average home sold for less than its list price for the first time in more than 17 months during the four-week period ended Aug. 28, according to Redfin."
2,2022-09-02 02:40:40.961823,2022-09-02 05:31:25,"Chinese stocks could plunge by 20% if real estate troubles get much worse, Morgan Stanley says","China's real estate problems could significantly drag down the economy and stocks if authorities don't provide enough support, Morgan Stanley analysts said."
3,2022-09-02 02:40:40.961823,2022-09-01 18:50:47,Bank of America launches zero down payment mortgages to help minorities buy their first homes — here's who can apply,Bank of America is working to narrow the homeownership gap among minority communities in certain cities with new mortgage products that come with fewer strings.
4,2022-09-02 02:40:40.961823,2022-09-01 20:48:22,Flood losses to insured property are jumping drastically and only a small fraction of what's damaged by floods is insured,A new report from insurance giant Swiss Re finds the flood losses to insured property are jumping drastically and only a fraction of what's damaged is insured.
5,2022-09-02 02:40:40.961823,2022-09-01 16:42:58,Largest-ever geothermal grid under this Texas housing development is saving homeowners serious money,Geothermal heating and cooling is achieved by accessing the constant temperatures deep underground and then using water to circulate that temperature up above.
6,2022-08-31 08:40:39.864614,2022-08-31 11:00:01,"Mortgage demand falls even further, as rates shoot back up to July highs","After falling earlier this month, mortgage rates began rising again to the highest level since mid-July. That caused mortgage demand to pull back even further."
7,2022-08-30 18:40:39.611074,2022-08-30 22:26:44,"Home prices weakened in June, but were still much higher than a year ago, says S&P Case-Shiller","Home prices in June were 18% higher than during the same month last year, according to the S&amp;P CoreLogic Case-Shiller Indices."
8,2022-08-30 04:40:39.183754,2022-09-01 14:09:11,Mortgage rates will fall to 4.5% in 2023? That's the estimate from Fannie Mae. Here’s what that means for homebuyers,Fannie Mae says mortgage rates could fall to 4.5% next year. But prospective homebuyers shouldn't use predictions as a primary guide to purchase decisions.
9,2022-08-27 20:40:37.791188,2022-08-27 17:42:19,The rent crisis on Main Street just took a turn for the worse,"The percentage of small business owners who said they could not make rent in August hit a record level for 2022, and hasn't been this high since peak Covid."
10,2022-08-27 20:40:37.791188,2022-08-27 12:30:02,"Mortgage denial rate for Black borrowers is twice that of overall population, report finds","Progress in giving aspiring Black homebuyers more equal footing compared to the overall population has been slow and incremental, one expert says."
11,2022-08-27 20:40:37.791188,2022-08-27 11:50:01,"Beyond student loan forgiveness, here's what the government can do to keep the rising household debt in check",Policy plays a vital role in keeping the rising household debt in check.
12,2022-08-24 22:40:35.370859,2022-08-24 20:08:56,"Pending home sales slip 1% in July, but Realtors say market may be 'at or close to the bottom'","Pending home sales, a measure of signed contracts on existing homes, dropped 1% from June to July, according to the National Association of Realtors."
13,2022-08-24 22:40:35.370859,2022-08-24 18:37:02,Home prices fell for the first time in 3 years last month – and it was the biggest decline since 2011,The sharp and fast rise in mortgage rates this year caused an already pricey housing market to become even less affordable.
14,2022-08-24 22:40:35.370859,2022-08-24 14:19:35,Vacation rental company Vacasa picks protege of Uber CEO to be next chief executive,"Vacasa picked Rob Greyber, who led Expedia's Egencia division from 2009 to 2020, to succeed current Chief Executive Matt Roberts."
15,2022-08-24 22:40:35.370859,2022-08-24 11:34:24,"First-time buyers show more demand for mortgages, even as interest rates rise",Mortgage demand from first-time buyers rose despite a sharp increase in mortgage interest rates.
16,2022-08-23 18:38:24.092375,2022-08-23 22:23:12,"72% of recent homebuyers have regrets about their purchases. As the market cools, these steps can help you avoid disappointment","The hot seller's market in recent years prompted buyers to go above and beyond to seal the deals on their prospective homes, a recent survey finds."
17,2022-08-23 18:38:24.092375,2022-08-23 22:33:47,Apartment rents are finally easing after an incredible run. Here's how to play it,"Rent growth for apartments looks to have peaked after a tremendous run in 2021, and that could boost some real estate stocks."
18,2022-08-23 18:38:24.092375,2022-08-23 19:57:09,"We're in a 'housing recession,' experts say. Here's what that means for homeowners, sellers and buyers","While home sales last month were down more than 20% from a year earlier, prices are up more than 10% and demand remains strong despite a slowdown."
19,2022-08-23 04:38:23.586005,2022-08-22 23:58:13,Trump PAC paid nearly $1 million to defense lawyers in July alone as Georgia and New York probes heated up,"Since May, former President Donald Trump's political action committee, Save America, has nearly quintupled spending on defense attorneys."
20,2022-08-23 04:38:23.586005,2022-08-23 01:09:09,$14.9M palatial estate in Connecticut priced to break local record,"The brick-and-limestone residence, built in 1929, is the most expensive home for sale in New Canaan with a $14.9 million price tag."
21,2022-08-20 01:00:19.481948,2022-08-19 19:26:49,"Delta, the NFL, and the U.S. Air Force are turning to this app to prepare for extreme weather",Tomorrow.io aims to tell customers how extreme weather will affect them while there's still time to prepare.
22,2022-08-20 01:00:19.481948,2022-08-19 18:42:07,"The modern family: 18% of Americans live in multigenerational households. For this N.J. family, it was ‘a lifesaver’ during the pandemic",Multigenerational living has risen sharply over the past five decades and shows no sign of slowing down.
23,2022-08-18 21:00:13.295881,2022-08-18 21:03:14,"Home Depot and Lowe's cite strong demand in earnings reports, but softening could be ahead","Even as homebuilder sentiment dropped, Home Depot and Lowe's saw continued strong demand from contractors."
24,2022-08-18 21:00:13.295881,2022-08-20 00:32:26,Home sales fell nearly 6% in July as housing market slides into a recession,"Sales of previously owned homes fell nearly 6% in July compared with June, according to a monthly report from the National Association of Realtors."
25,2022-08-18 07:00:12.818246,2022-08-18 02:21:22,Chinese property developers' cash flows have plunged by more than 20%,"Chinese property developers' cash flows — a sign of the companies' ability to stay afloat — have plunged this year, according to Oxford Economics."
26,2022-08-17 17:00:12.200225,2022-08-17 16:31:56,Mortgage demand fell last week even as rates declined slightly,A small drop in mortgage rates was not enough to fuel any kind of recovery in consumer demand for home loans.
27,2022-08-16 16:45:38.691769,2022-08-20 00:33:16,Homebuyers are backing out of more deals as high mortgage rates persist and recession fears linger,"Homebuilder cancellation rates have more than doubled since April, according to surveys by John Burns Real Estate Consulting."
28,2022-08-16 02:45:38.227494,2022-08-15 16:50:19,4 takeaways from the Investing Club’s ‘Morning Meeting’ on Monday,"The Investing Club holds its ""Morning Meeting"" livestream every weekday at 10:20 a.m. ET."
29,2022-08-15 12:45:37.732189,2022-08-15 18:43:15,"More than 100 million Americans will be exposed to extreme heat by 2053, mostly in the South and Midwest","Next year, about 50 U.S. counties, which are home to more than 8 million residents, are expected to feel heat index temperatures above 125 degrees Fahrenheit."
